name,brand,stock_status,solutions,review_count,rating,price,difficulty,time_commitment,url,appliance
Refrigerator Ice and Water Filter EDR1RXD1,Whirlpool,In Stock,"Average Rating:
★★★★★
★★★★★
108 Reviews
4.8
Filter By Rating:
5 Stars
92
4 Stars
10
3 Stars
4
2 Stars
1
1 Star
1",108,4.77,76.77,Really Easy ,15 - 30 mins ,https://www.partselect.com/PS11701542-Whirlpool-EDR1RXD1-Refrigerator-Ice-and-Water-Filter.htm?SourceCode=18,Refrigerator
Refrigerator Water Filter EDR4RXD1,Whirlpool,In Stock,"This part fixes the following symptoms:
Not dispensing water | Ice maker not making ice | Leaking | Ice maker dispenses too little ice",98,4.64,76.77,Easy ,15 - 30 mins ,https://www.partselect.com/PS11722130-Whirlpool-EDR4RXD1-Refrigerator-Water-Filter.htm?SourceCode=18,Refrigerator
Gallon Door Bin - Clear WPW10710203,Whirlpool,In Stock,"Average Rating:
★★★★★
★★★★★
80 Reviews
4.7
Filter By Rating:
5 Stars
68
4 Stars
5
3 Stars
4
2 Stars
1
1 Star
2",80,4.7,31.89,Very Easy ,Less than 15 mins ,https://www.partselect.com/PS11757236-Whirlpool-WPW10710203-Gallon-Door-Bin-Clear.htm?SourceCode=18,Refrigerator
Refrigerator Ice Maker W10873791,Whirlpool,In Stock,"Average Rating:
★★★★★
★★★★★
50 Reviews
4.5
Filter By Rating:
5 Stars
41
4 Stars
3
3 Stars
1
2 Stars
1
1 Star
4",50,4.52,75.92,Really Easy ,15 - 30 mins ,https://www.partselect.com/PS11738120-Whirlpool-W10873791-Refrigerator-Ice-Maker.htm?SourceCode=18,Refrigerator
Refrigerator Air Filter W10311524,Whirlpool,In Stock,"This part fixes the following symptoms:
Fridge too cold | Fridge too warm | Ice maker not making ice | Noisy",44,4.75,21.48,Very Easy ,15 - 30 mins ,https://www.partselect.com/PS2580853-Whirlpool-W10311524-Refrigerator-Air-Filter.htm?SourceCode=18,Refrigerator
Light Bulb - 40W 8009,Whirlpool,In Stock,"This part works with the following products:
Refrigerator, Range, Wall Oven, Dryer.",78,4.64,11.69,Really Easy ,15 - 30 mins ,https://www.partselect.com/PS884734-Whirlpool-8009-Light-Bulb-40W.htm?SourceCode=18,Refrigerator
Replacement Ice Maker D7824706Q,Whirlpool,In Stock,"This part fixes the following symptoms:
Ice maker not making ice | Leaking | Ice maker won’t dispense ice | Ice maker dispenses too little ice",183,4.73,89.89,Easy ,15 - 30 mins ,https://www.partselect.com/PS2121513-Whirlpool-D7824706Q-Replacement-Ice-Maker.htm?SourceCode=18,Refrigerator
Water Filter EDR2RXD1,Whirlpool,In Stock,"Average Rating:
★★★★★
★★★★★
36 Reviews
4.8
Filter By Rating:
5 Stars
32
4 Stars
2
3 Stars
1
2 Stars
0
1 Star
1",36,4.78,90.40,Really Easy ,Less than 15 mins ,https://www.partselect.com/PS11722126-Whirlpool-EDR2RXD1-Water-Filter.htm?SourceCode=18,Refrigerator
Meat Drawer Shelf W10861519,Whirlpool,In Stock,"Average Rating:
★★★★★
★★★★★
66 Reviews
4.7
Filter By Rating:
5 Stars
56
4 Stars
5
3 Stars
2
2 Stars
0
1 Star
3",66,4.68,43.52,Really Easy ,15 - 30 mins ,https://www.partselect.com/PS11731608-Whirlpool-W10861519-Meat-Drawer-Shelf.htm?SourceCode=18,Refrigerator
Capacitor WPW10662129,Whirlpool,In Stock,"This part fixes the following symptoms:
Fridge too warm | Will Not Start | Fridge and Freezer are too warm | Freezer section too warm",43,4.28,34.89,Easy ,15 - 30 mins ,https://www.partselect.com/PS11757023-Whirlpool-WPW10662129-Capacitor.htm?SourceCode=18,Refrigerator
